dataset,method,param,nfr_mean,nfr_std,acc_mean,acc_std
breast-w,bcwi,0.015,0.02856775135208527,0.05580836397686074,0.8134920634920635,0.2727370813129041
breast-w,bcwi,0.02,0.02856775135208527,0.05580836397686074,0.8134920634920635,0.2727370813129041
breast-w,bcwi,0.025,0.02856775135208527,0.05580836397686074,0.8134920634920635,0.2727370813129041
breast-w,bcwi,0.03,0.03958470050462764,0.06024040477183375,0.8047619047619048,0.26945713918140507
churn,baseline,,0.019440136044697232,0.01720871744921541,0.9014444444444445,0.03847593800302496
churn,confidence_drop,0.0,0.019203163489501608,0.017338754082837454,0.9025555555555556,0.039315298927603284
churn,confidence_drop,0.5,0.016925363697683122,0.016646514802661688,0.9045555555555556,0.03653905965755598
churn,confidence_drop,1.0,0.017689291470475006,0.0167331513107339,0.9031111111111111,0.033919941247975635
churn,confidence_drop,2.0,0.015680023047234804,0.016439446994507476,0.9029999999999999,0.03523797209886805
churn,confidence_drop,4.0,0.015104896250109232,0.01879988768084858,0.8985555555555556,0.03267686915507326
churn,confidence_drop,8.0,0.016252556662322008,0.018967777046676435,0.8941111111111111,0.0301757540367634
churn,fixed_anchor,0.0,0.0172949909334651,0.017077839996892094,0.9036666666666665,0.03885554125758323
churn,fixed_anchor,0.5,0.016191176737397277,0.014280453166380021,0.9033333333333333,0.03740557384578547
churn,fixed_anchor,1.0,0.014603976483725486,0.012158842967222567,0.9036666666666667,0.036560077021587596
churn,fixed_anchor,2.0,0.013849755067627248,0.010166431715324895,0.9037777777777778,0.03446315700385199
churn,fixed_anchor,4.0,0.01253488431955955,0.009352495227373492,0.9040000000000001,0.03475645226338411
churn,fixed_anchor,8.0,0.011277245912194846,0.009351705520668597,0.9023333333333333,0.033894251751340754
churn,selective_distill,0.0,0.017296329479167406,0.017884735253460522,0.9027777777777779,0.039559474074184316
churn,selective_distill,0.5,0.01650621557251824,0.016429222766767837,0.9037777777777777,0.03980818204872826
churn,selective_distill,1.0,0.016014522329852947,0.01711605230146149,0.9032222222222221,0.039124331379571074
churn,selective_distill,2.0,0.0164038077590632,0.017677348556610056,0.9022222222222223,0.03811397246574204
churn,selective_distill,4.0,0.016248812492258374,0.016941557392865462,0.9002222222222223,0.035999542749725305
churn,selective_distill,8.0,0.014748595743791258,0.013439289996148976,0.8981111111111112,0.03387239023602826
