dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,3,confidence_drop,logreg,1.0,,0.010249608103219583,0.8525949431876344,0.08197831978319783
adult,3,fixed_anchor,logreg,1.0,,0.0037380923670565537,0.8549493295117208,0.06097560975609756
adult,3,selective_distill,logreg,1.0,,0.009164355480525745,0.8553587880028662,0.09417344173441734
adult,3,confidence_drop,logreg,2.0,,0.01145544435065718,0.8505476507319071,0.07520325203252033
adult,3,fixed_anchor,logreg,2.0,,0.0026528397443627157,0.8541304125294298,0.0494579945799458
adult,3,selective_distill,logreg,2.0,,0.007837935608344386,0.8551540587572934,0.08536585365853659
adult,3,confidence_drop,logreg,4.0,,0.01157602797540094,0.8473743474255298,0.054878048780487805
adult,3,fixed_anchor,logreg,4.0,,0.0014470034969251175,0.8532091309243526,0.036585365853658534
adult,3,selective_distill,logreg,4.0,,0.00590859761244423,0.8542327771522162,0.06842818428184282
adult,3,confidence_drop,logreg,8.0,,0.014711202218738695,0.8448152318558706,0.05555555555555555
adult,3,fixed_anchor,logreg,8.0,,0.0010852526226938382,0.8520831200737026,0.02710027100271003
adult,3,selective_distill,logreg,8.0,,0.003979259616544073,0.853618589415498,0.0535230352303523
adult,3,projected_gd,logreg,,0.0,0.0,0.8489098167673252,0.0
adult,3,bcwi,logreg,,0.0,0.0,0.8489098167673252,0.0
adult,3,projected_gd,logreg,,0.005,0.00578801398770047,0.8546422356433616,0.07046070460704607
adult,3,bcwi,logreg,,0.005,0.007837935608344386,0.8553587880028662,0.08672086720867209
adult,3,projected_gd,logreg,,0.01,0.013264198721813577,0.8542327771522162,0.10975609756097561
adult,3,bcwi,logreg,,0.01,0.012299529723863499,0.8540280479066434,0.10298102981029811
adult,3,projected_gd,logreg,,0.015,0.013867116845532377,0.8539256832838571,0.1111111111111111
adult,3,bcwi,logreg,,0.015,0.012299529723863499,0.8540280479066434,0.10298102981029811
adult,3,projected_gd,logreg,,0.02,0.013867116845532377,0.8539256832838571,0.1111111111111111
adult,3,bcwi,logreg,,0.02,0.012299529723863499,0.8540280479066434,0.10298102981029811
adult,3,projected_gd,logreg,,0.025,0.013867116845532377,0.8539256832838571,0.1111111111111111
adult,3,bcwi,logreg,,0.025,0.012299529723863499,0.8540280479066434,0.10298102981029811
