dataset,split,method,model_type,lambda,target_nfr,achieved_nfr,accuracy,pfr
adult,5,selective_distill,logreg,0.0,,0.013538015230267134,0.8501381922407616,0.0962566844919786
adult,5,confidence_drop,logreg,0.5,,0.009549135742777711,0.8499334629951889,0.07286096256684492
adult,5,fixed_anchor,logreg,0.5,,0.004955880575365648,0.8518783908281298,0.06016042780748663
adult,5,selective_distill,logreg,0.5,,0.012087513598452799,0.8499334629951889,0.08689839572192513
adult,5,confidence_drop,logreg,1.0,,0.008703009790886014,0.8488074521445389,0.060828877005347594
adult,5,fixed_anchor,logreg,1.0,,0.004351504895443007,0.8507523799774798,0.04946524064171123
adult,5,selective_distill,logreg,1.0,,0.010637011966638462,0.8501381922407616,0.08021390374331551
adult,5,confidence_drop,logreg,2.0,,0.008219509246947903,0.8474767120483161,0.04946524064171123
adult,5,fixed_anchor,logreg,2.0,,0.0037471292155203673,0.8491145460128979,0.03542780748663102
adult,5,selective_distill,logreg,2.0,,0.008823884926870543,0.8503429214863343,0.07152406417112299
adult,5,confidence_drop,logreg,4.0,,0.009065635198839598,0.8453270549698024,0.040106951871657755
adult,5,fixed_anchor,logreg,4.0,,0.0025383778556750877,0.8486027228989661,0.02540106951871658
adult,5,selective_distill,logreg,4.0,,0.005802006527257343,0.8512642030914116,0.060828877005347594
adult,5,confidence_drop,logreg,8.0,,0.012450139006406383,0.8430750332685024,0.04411764705882353
adult,5,fixed_anchor,logreg,8.0,,0.0013296264958298078,0.8486027228989661,0.01871657754010695
adult,5,selective_distill,logreg,8.0,,0.0031427535355977275,0.8498310983724024,0.03676470588235294
adult,5,projected_gd,logreg,,0.0,0.0,0.8470672535571706,0.001336898395721925
adult,5,bcwi,logreg,,0.0,0.0013296264958298078,0.8478861705394616,0.014037433155080214
adult,5,projected_gd,logreg,,0.005,0.004835005439381119,0.8501381922407616,0.0481283422459893
adult,5,bcwi,logreg,,0.005,0.006164631935210927,0.8508547446002661,0.06016042780748663
adult,5,projected_gd,logreg,,0.01,0.011724888190499215,0.8504452861091207,0.08823529411764706
adult,5,bcwi,logreg,,0.01,0.008703009790886014,0.8507523799774798,0.07352941176470588
adult,5,projected_gd,logreg,,0.015,0.014505016318143358,0.8493192752584706,0.0962566844919786
adult,5,bcwi,logreg,,0.015,0.008703009790886014,0.8507523799774798,0.07352941176470588
adult,5,projected_gd,logreg,,0.02,0.014505016318143358,0.8493192752584706,0.0962566844919786
adult,5,bcwi,logreg,,0.02,0.008703009790886014,0.8507523799774798,0.07352941176470588
adult,5,projected_gd,logreg,,0.025,0.014505016318143358,0.8493192752584706,0.0962566844919786
adult,5,bcwi,logreg,,0.025,0.008703009790886014,0.8507523799774798,0.07352941176470588
adult,5,projected_gd,logreg,,0.03,0.014505016318143358,0.8493192752584706,0.0962566844919786
adult,5,bcwi,logreg,,0.03,0.008703009790886014,0.8507523799774798,0.07352941176470588
adult,6,baseline,logreg,,,0.015252390751724973,0.8495240045040434,0.10875331564986737
adult,6,confidence_drop,logreg,0.0,,0.01452608643021426,0.8504452861091207,0.11074270557029178
adult,6,fixed_anchor,logreg,0.0,,0.015131340031473187,0.8504452861091207,0.11405835543766578
adult,6,selective_distill,logreg,0.0,,0.014889238590969616,0.8495240045040434,0.10676392572944297
adult,6,confidence_drop,logreg,0.5,,0.011136666263164266,0.8503429214863343,0.09151193633952255
adult,6,fixed_anchor,logreg,0.5,,0.007989347536617843,0.8504452861091207,0.07493368700265252
adult,6,selective_distill,logreg,0.5,,0.012710325626437478,0.8501381922407616,0.09880636604774536
adult,6,confidence_drop,logreg,1.0,,0.011862970584674979,0.8492169106356843,0.08819628647214854
adult,6,fixed_anchor,logreg,1.0,,0.006778840334099988,0.8497287337496161,0.0636604774535809
adult,6,selective_distill,logreg,1.0,,0.01077351410240891,0.8510594738458389,0.09416445623342175
adult,6,confidence_drop,logreg,2.0,,0.011984021304926764,0.8464530658204524,0.0709549071618037
adult,6,fixed_anchor,logreg,2.0,,0.0050841302505749905,0.8501381922407616,0.05702917771883289
adult,6,selective_distill,logreg,2.0,,0.008957753298632127,0.8511618384686253,0.08488063660477453
adult,6,confidence_drop,logreg,4.0,,0.012710325626437478,0.8443034087419388,0.0610079575596817
adult,6,fixed_anchor,logreg,4.0,,0.003873623048057136,0.8486027228989661,0.04045092838196287
adult,6,selective_distill,logreg,4.0,,0.006899891054351773,0.8503429214863343,0.06830238726790451
adult,6,confidence_drop,logreg,8.0,,0.013920832828955332,0.8439963148735797,0.0656498673740053
adult,6,fixed_anchor,logreg,8.0,,0.003631521607553565,0.8474767120483161,0.03183023872679045
adult,6,selective_distill,logreg,8.0,,0.004963079530323205,0.8488074521445389,0.04774535809018567
adult,6,projected_gd,logreg,,0.0,0.0001210507202517855,0.8456341488381616,0.000663129973474801
adult,6,bcwi,logreg,,0.0,0.0,0.8456341488381616,0.0
adult,6,projected_gd,logreg,,0.005,0.0039946737683089215,0.8473743474255298,0.033156498673740056
adult,6,bcwi,logreg,,0.005,0.004720978089819634,0.8478861705394616,0.04045092838196287
adult,6,projected_gd,logreg,,0.01,0.0083524996973732,0.8502405568635479,0.07559681697612732
adult,6,bcwi,logreg,,0.01,0.006778840334099988,0.8496263691268298,0.0629973474801061
adult,6,projected_gd,logreg,,0.015,0.015494492192228544,0.8500358276179752,0.11339522546419098
adult,6,bcwi,logreg,,0.015,0.014162934269458903,0.8508547446002661,0.11140583554376658
adult,6,projected_gd,logreg,,0.02,0.01634184723399104,0.8495240045040434,0.11472148541114058
